Typed Link Prediction: Decoder Comparison - 2025-10-19 00:11:50
================================================================================

R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7254
Total Epochs Trained: 447
Early Stopping Best Score: 0.4753 (Hits@10 at epoch 367)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
272      0.2103         0.7048       0.0873       0.2913       0.4630      
273      0.2136         0.7178       0.0968       0.3102       0.4611      
274      0.2024         0.6995       0.0721       0.2913       0.4440      
275      0.2210         0.7150       0.0873       0.2951       0.4469      
276      0.2063         0.6994       0.0844       0.2979       0.4317      
277      0.2080         0.7067       0.0797       0.2932       0.4412      
278      0.1990         0.7165       0.1006       0.3150       0.4364      
279      0.1990         0.7049       0.0750       0.2922       0.4393      
280      0.2135         0.7140       0.0892       0.2998       0.4497      
281      0.2001         0.7097       0.0939       0.2989       0.4611      
282      0.1998         0.7146       0.0958       0.3046       0.4526      
283      0.1998         0.6999       0.0797       0.2941       0.4298      
284      0.2046         0.7129       0.0892       0.3178       0.4649      
285      0.1947         0.6912       0.0797       0.2970       0.4412      
286      0.2106         0.7162       0.0901       0.3150       0.4639      
287      0.2089         0.7002       0.0882       0.2875       0.4288      
288      0.1955         0.7110       0.1120       0.3235       0.4478      
289      0.2016         0.7116       0.0968       0.3074       0.4554      
290      0.1990         0.7163       0.0930       0.3008       0.4412      
291      0.2045         0.7053       0.0816       0.3178       0.4573      
292      0.1961         0.6998       0.0835       0.2865       0.4402      
293      0.1999         0.6955       0.1015       0.3169       0.4573      
294      0.1903         0.7134       0.0901       0.3027       0.4497      
295      0.2104         0.7090       0.0901       0.3102       0.4450      
296      0.1960         0.7100       0.0949       0.2989       0.4554      
297      0.2081         0.6986       0.0844       0.3027       0.4355      
298      0.1939         0.7133       0.1120       0.3178       0.4526      
299      0.2005         0.7186       0.0769       0.2799       0.4383      
300      0.1911         0.7117       0.1015       0.2922       0.4431      
301      0.1918         0.7113       0.0740       0.2960       0.4526      
302      0.2018         0.7243       0.0977       0.3207       0.4677      
303      0.2099         0.7010       0.0949       0.3046       0.4478      
